id,question,intent,chart_type,table,dimension,metric_or_operation,filters,semantic_attributes
301,Cuántos cursos hay en la sede de Ñaña,count,bar,silabos,programa_estudio,COUNT,sede=Ñaña,[sede:Ñaña][intent:count][dimension:programa_estudio]
302,Distribución de sílabos por facultad en Juliaca,count,bar,silabos,facultad,COUNT,sede=Juliaca,[sede:Juliaca][intent:count][dimension:facultad]
303,Cuántas asignaturas hay en el campus de Tarapoto,count,bar,silabos,programa_estudio,COUNT,sede=Tarapoto,[sede:Tarapoto][intent:count][dimension:programa_estudio]
304,Total de cursos por sede en la UPEU,count,bar,silabos,sede,COUNT,,[entity:sede][intent:count][institution:UPEU]
305,Distribución de programas por campus universitario,count,bar,plan_estudios,sede,COUNT(DISTINCT programa_estudio),,[entity:sede][intent:count][dimension:programa_estudio]
306,Cuántos programas activos tiene Ñaña,count,,plan_estudios,,COUNT,sede=Ñaña&estado=activo,[sede:Ñaña][intent:count][filter:estado]
307,Comparativa de cursos entre Lima y Juliaca,chart,bar,silabos,sede,COUNT,,[entity:sede][intent:chart][chart:bar][comparative]
308,Programas que se ofrecen en las tres sedes,list,,plan_estudios,programa_estudio,,,[entity:sede][intent:list][multi_sede]
309,Cuántas carreras tiene Tarapoto en total,count,,plan_estudios,,COUNT(DISTINCT programa_estudio),sede=Tarapoto,[sede:Tarapoto][intent:count]
310,Modalidades disponibles por sede en la UPEU,count,bar,plan_estudios,sede,COUNT(DISTINCT modalidad_estudio),,[entity:sede][entity:modalidad][institution:UPEU]
311,Cuántos cursos tiene la Facultad de Ingeniería y Arquitectura,count,,silabos,,COUNT,facultad=Ingenieria y Arquitectura,[entity:facultad][intent:count][facultad:Ingenieria]
312,Distribución de asignaturas en Ciencias de la Salud,count,bar,silabos,programa_estudio,COUNT,facultad=Ciencias de la Salud,[entity:facultad][intent:count][facultad:Salud]
313,Cuántos sílabos tiene Ciencias Empresariales,count,,silabos,,COUNT,facultad=Ciencias Empresariales,[entity:facultad][intent:count][facultad:Empresariales]
314,Cursos de la Facultad de Teología por ciclo,count,bar,silabos,ciclo,COUNT,facultad=Teologia,[entity:facultad][entity:ciclo][intent:count][facultad:Teologia]
315,Asignaturas de Ciencias Humanas y Educación,count,bar,silabos,programa_estudio,COUNT,facultad=Ciencias Humanas,[entity:facultad][intent:count]
316,Total de créditos en Ingeniería y Arquitectura,aggregate,,plan_estudios,,SUM(total_creditos),facultad=Ingenieria y Arquitectura,[entity:facultad][intent:aggregate][metric:creditos]
317,Promedio de horas por curso en Ciencias de la Salud,aggregate,,silabos,,AVG(horas_totales),facultad=Ciencias de la Salud,[entity:facultad][intent:aggregate][metric:horas]
318,Ranking de facultades por cantidad de cursos en UPEU,ranking,horizontal_bar,silabos,facultad,COUNT,,[entity:facultad][intent:ranking][institution:UPEU]
319,Gráfico de barras de cursos por facultad en Lima,chart,bar,silabos,facultad,COUNT,sede=Lima,[entity:facultad][entity:sede][intent:chart][chart:bar]
320,Cuántos programas tiene cada facultad,count,bar,plan_estudios,facultad,COUNT(DISTINCT programa_estudio),,[entity:facultad][intent:count][dimension:programa_estudio]
321,Cuántos cursos tiene Ingeniería de Sistemas,count,,silabos,,COUNT,programa_estudio=Ingenieria de Sistemas,[programa:Sistemas][intent:count]
322,Créditos totales del plan de Medicina Humana,aggregate,,plan_estudios,,SUM(total_creditos),programa_estudio=Medicina Humana,[programa:Medicina][intent:aggregate][metric:creditos]
323,Malla curricular de Enfermería por ciclo,list,,malla_curricular,ciclo,,programa_estudio=Enfermeria,[programa:Enfermeria][intent:list][dimension:ciclo]
324,Cursos de Administración de Empresas por área,count,bar,malla_curricular,area_formacion,COUNT,programa_estudio=Administracion de Empresas,[programa:Administracion][intent:count][dimension:area_formacion]
325,Plan de estudios de Contabilidad y Finanzas,list,,plan_estudios,,,programa_estudio=Contabilidad y Finanzas,[programa:Contabilidad][intent:list]
326,Distribución de cursos de Psicología por ciclo,count,bar,malla_curricular,ciclo,COUNT,programa_estudio=Psicologia,[programa:Psicologia][intent:count][dimension:ciclo]
327,Cuántos créditos tiene el plan de Arquitectura,aggregate,,plan_estudios,,SUM(total_creditos),programa_estudio=Arquitectura,[programa:Arquitectura][intent:aggregate][metric:creditos]
328,Asignaturas de Nutrición y Dietética por ciclo,list,,malla_curricular,,,programa_estudio=Nutricion y Dietetica,[programa:Nutricion][intent:list]
329,Horas de laboratorio de Farmacia y Bioquímica,aggregate,,malla_curricular,,SUM(horas_laboratorio),programa_estudio=Farmacia y Bioquimica,[programa:Farmacia][intent:aggregate][metric:horas_laboratorio]
330,Total de cursos de Obstetricia en Juliaca,count,,silabos,,COUNT,programa_estudio=Obstetricia&sede=Juliaca,[programa:Obstetricia][sede:Juliaca][intent:count]
331,Cuántos cursos de Ingeniería Civil hay por ciclo,count,bar,malla_curricular,ciclo,COUNT,programa_estudio=Ingenieria Civil,[programa:Civil][intent:count][dimension:ciclo]
332,Recursos bibliográficos de Teología Adventista,list,,recurso_aprendizaje,,,programa_estudio=Teologia,[programa:Teologia][intent:list][entity:recurso]
333,Distribución de cursos de Educación Primaria,count,bar,malla_curricular,ciclo,COUNT,programa_estudio=Educacion Primaria,[programa:Educacion][intent:count]
334,Asignaturas de Ingeniería Ambiental por área,count,bar,malla_curricular,area_formacion,COUNT,programa_estudio=Ingenieria Ambiental,[programa:Ambiental][intent:count][dimension:area_formacion]
335,Cuántos cursos electivos tiene Administración,count,,malla_curricular,,COUNT,programa_estudio=Administracion&tipo_curso=electivo,[programa:Administracion][filter:tipo_curso][intent:count]
336,Cuántos cursos de formación adventista tiene Teología,count,,malla_curricular,,COUNT,programa_estudio=Teologia&area_formacion=formacion_adventista,[programa:Teologia][area:formacion_adventista][intent:count][adventista]
337,Cursos con valores bíblicos en el sílabo de Sistemas,list,,silabos,,,programa_estudio=Sistemas&sumilla CONTAINS biblica,[programa:Sistemas][filter:sumilla][adventista][intent:list]
338,Asignaturas de formación cristiana en Enfermería,list,,malla_curricular,,,area_formacion=formacion_cristiana&programa=Enfermeria,[adventista][area:cristiana][programa:Enfermeria]
339,Cuántos cursos de ética hay en toda la UPEU,count,,malla_curricular,,COUNT,curso CONTAINS etica,[adventista][filter:curso][intent:count][institution:UPEU]
340,Recursos relacionados con Elena White por programa,list,,recurso_aprendizaje,,,autor CONTAINS White,[adventista][filter:autor][entity:recurso]
341,Sílabos que mencionan cosmovisión bíblica,list,,silabos,,,sumilla CONTAINS cosmovisión,[adventista][filter:sumilla][intent:list]
342,Cursos de mayordomía cristiana en la UPEU,list,,malla_curricular,,,curso CONTAINS mayordomia,[adventista][intent:list][institution:UPEU]
343,Asignaturas que integran fe y aprendizaje,list,,silabos,,,sumilla CONTAINS fe,[adventista][filter:sumilla][intent:list]
344,Cuántos cursos de vida saludable hay por facultad,count,bar,malla_curricular,facultad,COUNT,curso CONTAINS saludable,[adventista][filter:curso][intent:count][dimension:facultad]
345,Recursos de Elena White en Teología por unidad,list,,recurso_aprendizaje,,,autor CONTAINS White&programa=Teologia,[adventista][programa:Teologia][filter:autor]
346,Cursos de servicio comunitario en todas las sedes,list,,malla_curricular,,,curso CONTAINS servicio,[adventista][intent:list][multi_sede]
347,Asignaturas con fundamento bíblico en Educación,list,,silabos,,,programa=Educacion&sumilla CONTAINS biblica,[adventista][programa:Educacion][filter:sumilla]
348,Cuántos cursos de ética profesional hay en Medicina,count,,malla_curricular,,COUNT,programa=Medicina&curso CONTAINS etica,[adventista][programa:Medicina][filter:curso]
349,Libros de Elena White referenciados en sílabos,list,,recurso_aprendizaje,,,autor CONTAINS White&tipo_recurso=libro,[adventista][filter:autor][entity:recurso]
350,Distribución de cursos de formación integral por sede,count,bar,malla_curricular,sede,COUNT,area_formacion=integral,[adventista][dimension:sede][intent:count][area:integral]
351,Cuántos sílabos están registrados en Ñaña este periodo,count,,silabos,,COUNT,sede=Ñaña,[sede:Ñaña][intent:count][temporal:periodo]
352,Cursos vigentes de Administración en Lima,list,,malla_curricular,,,programa=Administracion&sede=Lima&estado=activo,[programa:Administracion][sede:Lima][filter:estado]
353,Evidencias SUNEDU pendientes para el periodo 2026,list,,sunedu_evidencia_curricular,,,estado=pendiente,[temporal:2026][filter:estado][entity:sunedu]
354,Planes de estudio actualizados en 2025,list,,plan_estudios,,,periodo_inicio=2025,[temporal:2025][intent:list]
355,Cuántos recursos publicados en los últimos 5 años hay,list,,recurso_aprendizaje,,,anio_publicacion>=2020,[temporal:reciente][intent:list]
356,Últimas versiones de planes de Sistemas,list,,plan_estudios,,,programa=Sistemas,[temporal:version][intent:list][programa:Sistemas]
357,Evidencias registradas este año por sede,count,bar,sunedu_evidencia_curricular,sede,COUNT,anio=2026,[temporal:2026][dimension:sede][intent:count]
358,Planes con vigencia hasta 2027 por programa,list,,plan_estudios,,,periodo_fin>=2027,[temporal:2027][intent:list]
359,Cuántos créditos tiene el plan de Sistemas en Ñaña,aggregate,,plan_estudios,,SUM(total_creditos),programa=Sistemas&sede=Ñaña,[programa:Sistemas][sede:Ñaña][intent:aggregate][metric:creditos]
360,Horas teóricas vs prácticas en Enfermería,chart,scatter,malla_curricular,,horas_teoricas vs horas_practicas,programa=Enfermeria,[programa:Enfermeria][intent:chart][chart:scatter][metric:horas]
361,Cuántos cursos de Ciencias Básicas hay en Sistemas,count,,malla_curricular,,COUNT,area_formacion=Ciencias Basicas&programa=Sistemas,[area:ciencias_basicas][programa:Sistemas][intent:count]
362,Distribución de créditos de formación general por programa,aggregate,bar,malla_curricular,programa_estudio,SUM(creditos),area_formacion=General,[area:general][intent:aggregate][metric:creditos]
363,Cursos de especialidad en Medicina por ciclo,count,bar,malla_curricular,ciclo,COUNT,area_formacion=Especialidad&programa=Medicina,[area:especialidad][programa:Medicina][intent:count]
364,Horas de práctica en cursos de formación profesional,aggregate,,malla_curricular,,SUM(horas_practicas),area_formacion=Profesional,[area:profesional][intent:aggregate][metric:horas_practicas]
365,Cuántos cursos de libre elección hay por sede,count,bar,malla_curricular,sede,COUNT,tipo_curso=libre_eleccion,[tipo:libre_eleccion][dimension:sede][intent:count]
366,Créditos de formación investigativa por programa,aggregate,bar,malla_curricular,programa_estudio,SUM(creditos),area_formacion=Investigacion,[area:investigacion][intent:aggregate][metric:creditos]
367,Cursos de práctica preprofesional en todas las carreras,list,,malla_curricular,,,tipo_curso=practica_preprofesional,[tipo:practica][intent:list]
368,Distribución de cursos transversales por facultad,count,bar,malla_curricular,facultad,COUNT,tipo_curso=transversal,[tipo:transversal][dimension:facultad][intent:count]
369,Cuántos cursos de investigación formativa hay,count,,malla_curricular,,COUNT,area_formacion=Investigacion,[area:investigacion][intent:count]
370,Total de horas de actividades extracurriculares,aggregate,,malla_curricular,,SUM(horas_totales),tipo_curso=extracurricular,[tipo:extracurricular][intent:aggregate][metric:horas]
371,cuantos cursos hay en niania,count,bar,silabos,programa_estudio,COUNT,sede=Ñaña,[sede:Ñaña][intent:count][typo]
372,distirbucion de silabos por faculta en julaca,count,bar,silabos,facultad,COUNT,sede=Juliaca,[sede:Juliaca][intent:count][typo][dimension:facultad]
373,cuantos cursos tiene enfermeria en tarapoto,count,,silabos,,COUNT,programa=Enfermeria&sede=Tarapoto,[programa:Enfermeria][sede:Tarapoto][intent:count][typo]
374,malla de sistemaz,list,,malla_curricular,,,programa=Sistemas,[programa:Sistemas][intent:list][typo]
375,creditos totales de administarcion,aggregate,,plan_estudios,,SUM(total_creditos),programa=Administracion,[programa:Administracion][intent:aggregate][typo]
376,cuantas asignaturas tiene teolojia,count,,silabos,,COUNT,facultad=Teologia,[facultad:Teologia][intent:count][typo]
377,top de carreras con mas horas en upeu,ranking,horizontal_bar,silabos,programa_estudio,SUM(horas_totales),,[institution:UPEU][intent:ranking][metric:horas][typo]
378,dame los recuros de bioquimica,list,,recurso_aprendizaje,,,curso=Bioquimica,[intent:list][typo][entity:recurso]
379,grafco de pastel de modalidaes en upeu,chart,pie,plan_estudios,modalidad_estudio,COUNT,,[institution:UPEU][intent:chart][chart:pie][typo]
380,evidensias sin documento en c1,list,,sunedu_evidencia_curricular,,,codigo_formato=C1&url_documento IS NULL,[entity:sunedu][filter:C1][typo]
381,cuantos planes tiene niania,count,,plan_estudios,,COUNT,sede=Ñaña,[sede:Ñaña][intent:count][typo]
382,distribusion de creditos por ciclo en sistemas,aggregate,bar,malla_curricular,ciclo,SUM(creditos),programa=Sistemas,[programa:Sistemas][intent:aggregate][typo]
